
близкий near
большой big
бороться fight
бояться fear
в at
видеть see
все all
где where
гладкий smooth
грудь breast
далекий far
два two
длинный long
другой other
думать think
дуть blow
дышать breathe
если if
есть eat
живот belly
жить live
здесь here
знать know
и and
имя name
как how
кишки guts
когда when
колено knee
круглый round
крыло wing
кто who
кусать bite
левый left
много many
мокрый wet
мы we
не not
немного few
несколько some
нога foot
нюхать smell
один one
он he
она she
они they
оно it
острый sharp
печень liver
пить drink
плевать spit
потому-что because
правильный correct
правый right
пять five
рвать vomit
рука hand
с with
сердце heart
слышать hear
смеяться laugh
сосать suck
спать sleep
спина back
сухой dry
там there
то that
толстый thick
три three
тупой dull
ты you
тяжелый heavy
убивать kill
умирать die
четыре four
что what
шея neck
широкий wide
это this
я I
